text,emotion_label,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,emotion_id
"Aku kecewa karena, burnout kuliah aku jadi males ngomong",sad,Aku kecewa karena burnout kuliah aku jadi males ngomong,"aku kecewa karena, burnout kuliah aku jadi males ngomong","aku kecewa karena, burnout kuliah aku jadi males bicara","['aku', 'kecewa', 'karena', ',', 'burnout', 'kuliah', 'aku', 'jadi', 'males', 'bicara']","['kecewa', ',', 'burnout', 'kuliah', 'males', 'bicara']","kecewa , burnout kuliah males bicara",4
Akhir-akhir ini karena kontrak kerja ga diperpanjang aku jadi overthinking terus,fear,Akhirakhir ini karena kontrak kerja ga diperpanjang aku jadi overthinking terus,akhir-akhir ini karena kontrak kerja ga diperpanjang aku jadi overthinking terus,akhir-akhir ini karena kontrak kerja ga diperpanjang aku jadi overthinking terus,"['akhir-akhir', 'ini', 'karena', 'kontrak', 'kerja', 'ga', 'diperpanjang', 'aku', 'jadi', 'overthinking', 'terus']","['akhir-akhir', 'kontrak', 'kerja', 'diperpanjang', 'overthinking']",akhir-akhir kontrak kerja diperpanjang overthinking,1
Hari ini bikin emosi pas tim ga koordinasi,angry,Hari ini bikin emosi pas tim ga koordinasi,hari ini bikin emosi pas tim ga koordinasi,hari ini bikin emosi pas tim ga koordinasi,"['hari', 'ini', 'bikin', 'emosi', 'pas', 'tim', 'ga', 'koordinasi']","['bikin', 'emosi', 'pas', 'tim', 'koordinasi']",bikin emosi pas tim koordinasi,0
Hari ini karena teman traktir makan,happy,Hari ini karena teman traktir makan,hari ini karena teman traktir makan,hari ini karena teman traktir makan,"['hari', 'ini', 'karena', 'teman', 'traktir', 'makan']","['teman', 'traktir', 'makan']",teman traktir makan,2
Barusan karena driver batal sepihak,angry,Barusan karena driver batal sepihak,barusan karena driver batal sepihak,barusan karena driver batal sepihak,"['barusan', 'karena', 'driver', 'batal', 'sepihak']","['barusan', 'driver', 'batal']",barusan driver batal,0
Capek banget kerjaan revisi terus rasanya pengen sendiri dulu,sad,Capek banget kerjaan revisi terus rasanya pengen sendiri dulu,capek banget kerjaan revisi terus rasanya pengen sendiri dulu,capek banget kerjaan revisi terus rasanya pengen sendiri dulu,"['capek', 'banget', 'kerjaan', 'revisi', 'terus', 'rasanya', 'pengen', 'sendiri', 'dulu']","['capek', 'banget', 'kerjaan', 'revisi', 'pengen']",capek banget kerjaan revisi pengen,4
kalau itu artinya cerdas.. bodoh selamanya pun aku tak keberatan (uzumaki naruto),neutral,kalau itu artinya cerdas bodoh selamanya pun aku tak keberatan uzumaki naruto,kalau itu artinya cerdas.. bodoh selamanya pun aku tak keberatan (uzumaki naruto),kalau itu artinya cerdas.. bodoh selamanya pun aku tidak keberatan (uzumaki naruto),"['kalau', 'itu', 'artinya', 'cerdas', '..', 'bodoh', 'selamanya', 'pun', 'aku', 'tidak', 'keberatan', '(', 'uzumaki', 'naruto', ')']","['cerdas', '..', 'bodoh', 'keberatan', '(', 'uzumaki', 'naruto', ')']",cerdas .. bodoh keberatan ( uzumaki naruto ),3
Tadi pagi pas berhasil push rank pokoknya lega banget,happy,Tadi pagi pas berhasil push rank pokoknya lega banget,tadi pagi pas berhasil push rank pokoknya lega banget,tadi pagi pas berhasil push rank pokoknya lega banget,"['tadi', 'pagi', 'pas', 'berhasil', 'push', 'rank', 'pokoknya', 'lega', 'banget']","['pagi', 'pas', 'berhasil', 'push', 'rank', 'pokoknya', 'lega', 'banget']",pagi pas berhasil push rank pokoknya lega banget,2
Aku ngerasa pas hubungan jadi awkward aku jadi males ngomong,sad,Aku ngerasa pas hubungan jadi awkward aku jadi males ngomong,aku ngerasa pas hubungan jadi awkward aku jadi males ngomong,aku ngerasa pas hubungan jadi awkward aku jadi males bicara,"['aku', 'ngerasa', 'pas', 'hubungan', 'jadi', 'awkward', 'aku', 'jadi', 'males', 'bicara']","['ngerasa', 'pas', 'hubungan', 'awkward', 'males', 'bicara']",ngerasa pas hubungan awkward males bicara,4
"Tadi malam, belum dapat kerja",fear,Tadi malam belum dapat kerja,"tadi malam, belum dapat kerja","tadi malam, belum dapat kerja","['tadi', 'malam', ',', 'belum', 'dapat', 'kerja']","['malam', ',', 'kerja']","malam , kerja",1
"Weekend ini, cek email kantor lalu lanjut aktivitas lagi",neutral,Weekend ini cek email kantor lalu lanjut aktivitas lagi,"weekend ini, cek email kantor lalu lanjut aktivitas lagi","weekend ini, cek email kantor lalu lanjut aktivitas lagi","['weekend', 'ini', ',', 'cek', 'email', 'kantor', 'lalu', 'lanjut', 'aktivitas', 'lagi']","['weekend', ',', 'cek', 'email', 'kantor', 'aktivitas']","weekend , cek email kantor aktivitas",3
Deg-degan banget karena deadline makin dekat aku jadi overthinking terus,fear,Degdegan banget karena deadline makin dekat aku jadi overthinking terus,deg-degan banget karena deadline makin dekat aku jadi overthinking terus,deg-degan banget karena deadline makin dekat aku jadi overthinking terus,"['deg-degan', 'banget', 'karena', 'deadline', 'makin', 'dekat', 'aku', 'jadi', 'overthinking', 'terus']","['deg-degan', 'banget', 'deadline', 'overthinking']",deg-degan banget deadline overthinking,1
