clean_text,emotion_label,stress_label
akhirnya lolos interview kerja tapi ya sudahlah waktu malam,happy,0.13
ah jimin sudah sembuh senang banget,happy,0.04
kesal banget hari ini dari tadi kepikiran bareng teman sama keluarga,angry,0.91
temanku non kpopers tiba tiba suka lagu ini lucu terkejutt lucu,happy,0.1
hiduplah sebagai pejuang seorang pejuang boleh suatu saat sakit sedih tapi ia tak boleh menyerah dengan kelemahannya keterbatasannya dan kesedihannya ia harus bangkit mewujudkan mimpi dan kesuksesan sebab kesuksesan dan kebahagiaan ibarat piala yang semua orang berhak merebutnya,neutral,0.22
kak vil cepat sembuh semangat recoverynya biar bisa menyusul jimin sembuh juga,happy,0.13
ih kok marah marah sih,angry,0.9
kaget tapi senang kakak changmin,happy,0.18
aku sedih pih lucu mau menangis,sad,0.56
alhamdulillah pagi dapat kabar baik,happy,0.11
semangat bestie,happy,0.17
aku sangat bodoh saat aku tahu aku jatuh cinta denganmu dan terluka karena aku tahu bahwa itu akan kamu kamu saja,sad,0.53
rasanya ingin marah terus sih tadi pagi sendiri,angry,0.93
akhir minggu ini seru banget hari ini pas perjalanan sama teman kantor,happy,0.24
karena rasanya aib banget saya takut stigma orang mandang saya orang gila setakut itu padahal sekarang sudah banyak banget yang speak up tentang mental illnessnya masing makanya saya agak gedek sama orang yang mengakui punya mental illness bermodal self diagnose sedih banget saya lihatnya,anxious,0.73
menemukan duit senang,happy,0.06
lelah menghadapi orang yang egois serius bareng teman,angry,0.94
lain kali otak itu biarkan saja stay di kepala jangan dipindah pindah ke kontol juancok tolol kan jadinya gih musnah saja ngehabis ini oksigen saja kalau hidup,angry,0.86
hawane takut,anxious,0.84
rasanya ingin marah terus banget asli di kantor sama teman kantor,angry,0.95
merasa sendirian akhir akhir ini banget asli di rumah sama dia,sad,0.58
pagi juga om semoga sehat selalu minum kopi om enak sekarang apalagi tidak ada beban lihat kiri dan kanan lihat orang mencurigakan,happy,0.02
takut gagal di presentasi besok lucu di kampus sama dia,anxious,0.94
hari ini berat banget dijalani dari tadi kepikiran pas perjalanan sendiri,sad,0.73
asli saya sedih banget tahi,sad,0.58
yang suka malu memalukan siapa nih kamu kah,neutral,0.2
enak banget bangsat bisa bisa nya di bilang flop,angry,0.99
marah banget karena pekerjaan berantakan tapi ya sudahlah tadi pagi sama dia,angry,0.78
ge mriyang tapi harus tetap kerja demi bisa bahagia dapat duit miris sedih,sad,0.6
ha paling benci memang hal begitu,angry,0.94
denise ih gila gue sedih banget denise langsung deg jantung gue,sad,0.54
takut gagal di presentasi besok banget asli waktu malam sama dia,anxious,0.93
masih susah pindah on dari kejadian itu sumpah di rumah sama teman kantor,sad,0.79
bodoh ya bodoh saja tapi jangan mengajak mengajak,angry,0.91
anxious banget sebelum meeting tadi tapi ya sudahlah waktu malam,anxious,0.94
kesal banget hari ini dan kepikiran terus di rumah sama teman kantor,angry,0.9
rasanya sedih banget akhir akhir ini tapi ya sudahlah waktu malam sama teman kantor,sad,0.8
tolong ya gue itu benci banget kalau sudah rapi tapi tiba tiba kebelet berak,anxious,0.89
dapat kabar baik dari keluarga tadi pagi sih waktu malam sendiri,happy,0.18
masih susah pindah on dari kejadian itu dan kepikiran terus di rumah sama teman kantor,sad,0.72
alah paling juga gugur lawan psg kecewa sama taktiknya,sad,0.68
kecewa banget sama hasilnya banget sendiri,sad,0.73
oh kiraan alergi begitu suka banget sih soalnya enak tapi tergantung yang jual ya kadang suka amis,neutral,0.31
lelah sih tapi puas hasilnya bagus padahal sudah coba santai di kampus sendiri,happy,0.28
